公司代號,公司名稱,合計：共 861 家,毛利率(%)(營業毛利)/(營業收入),營業利益率(%)(營業利益)/(營業收入),營業收入(百萬元),稅前純益率(%)(稅前純益)/(營業收入),稅後純益率(%)(稅後純益)/(營業收入)
1903,士紙,,12.76,-184.57,23.58,-206.61,-206.61
1904,正隆,,18.71,6.34,10353.68,4.83,3.75
1905,華紙,,10.37,3.85,5549.22,3.28,2.72
1906,寶隆,,10.99,-0.86,242.30,14.56,6.37
1907,永豐餘,,17.75,3.86,15509.59,1.11,0.40
1909,榮成,,26.28,16.25,9725.88,14.00,10.15
2002,中鋼,,11.99,7.75,82984.35,6.49,5.64
2006,東和鋼鐵,,14.10,8.03,7443.65,7.72,6.66
2007,燁興公司,,4.45,1.69,2063.47,-1.12,-1.16
2008,高興昌,,-7.15,-16.53,223.67,-21.63,-21.63
2009,第一伸銅,,9.34,7.35,698.24,6.66,5.39
2010,春源鋼鐵,,9.47,4.60,4092.77,5.74,4.42
2012,春雨,,19.14,7.94,2058.83,1.93,1.49
2013,中鋼構,,2.94,0.93,4243.11,0.45,0.42
2014,中鴻,,10.07,7.07,10029.23,6.94,6.93
2015,豐興鋼鐵,,16.65,13.44,6282.30,13.70,11.46
2017,官田鋼,,18.53,10.07,1168.01,13.36,12.80
2020,美亞鋼管,,19.19,13.40,1206.96,13.82,11.44
2022,聚亨,,10.76,3.17,1707.00,1.33,0.41
2023,燁輝,,11.53,6.07,18558.32,6.41,4.72
2024,志聯工業,,17.27,11.67,349.02,8.49,7.05
2025,千興,,7.52,6.07,910.04,6.32,6.32
2027,大成鋼,,19.20,8.62,13301.02,4.02,2.17
2028,威致鋼鐵,,8.99,7.53,2359.93,6.98,6.80
2029,盛餘,,18.61,13.41,3710.28,12.43,10.29
2030,彰源,,16.67,10.93,3173.83,8.27,6.32
2031,新光鋼,,18.51,14.66,2200.50,18.87,16.57
2032,新鋼工業,,5.13,1.12,641.66,0.92,0.83
2033,佳大世界,,14.69,4.02,195.39,2.32,1.86
2034,允強,,11.28,6.77,5074.22,5.22,4.37
2038,海光企業,,1.24,-2.56,1025.35,-4.09,-3.42
2049,上銀科技,,32.28,10.52,4299.92,6.41,4.62
2059,川湖,,57.57,46.74,1125.75,9.84,9.70
2062,橋椿,,23.58,11.89,1529.89,14.86,11.92
2069,運錩,,11.37,6.39,2209.67,4.62,3.83
2101,南港輪胎,,19.72,8.53,2712.06,9.81,7.62
2102,泰豐輪胎,,17.87,-6.54,1199.20,-47.80,-47.93
2103,台橡,,11.94,6.03,8758.83,6.21,4.17
2104,國際中橡,,26.73,18.60,4856.81,16.56,10.19
2105,正新,,25.66,11.14,28641.25,9.36,6.79
2106,建大,,21.34,5.95,7303.73,3.45,2.79
2107,厚生,,31.46,21.00,468.44,-1.41,0.27
2108,南帝化工,,18.63,9.81,2978.57,7.64,5.95
2109,華豐橡膠,,21.20,6.23,1483.35,5.71,3.90
2114,鑫永銓,,34.14,24.34,323.25,6.15,5.10
2115,六暉-KY,,28.29,17.72,679.12,17.49,12.72
2201,裕隆汽車,,20.37,5.86,24792.46,6.51,5.03
2204,中華汽車,,17.90,7.63,10871.61,11.66,10.51
2206,三陽工業,,17.84,2.01,7595.92,0.96,0.35
2208,台船公司,,-52.35,-55.92,3230.75,-55.68,-46.28
2227,裕隆日產,,18.19,7.13,9856.81,17.64,14.63
2228,劍麟,,30.47,17.46,1165.61,14.58,10.75
2231,為升,,53.88,38.07,829.42,19.73,17.31
2236,百達-KY,,29.20,13.16,524.64,12.25,9.56
2239,英利-KY,,20.80,12.13,4242.25,9.82,7.65
2301,光寶科技,,13.03,4.00,51351.70,4.82,3.60
2302,麗正,,32.74,-16.46,103.79,-16.29,-16.30
2303,聯電,,19.85,3.66,37417.95,2.85,4.00
2305,全友電腦,,34.60,-24.16,143.14,-5.39,-8.21
2308,台達電,,27.20,8.11,48924.66,10.15,8.12
2312,金寶電子,,6.10,1.82,28832.31,1.73,1.29
2313,華通,,13.11,8.50,11215.41,5.26,3.55
2314,台揚科技,,18.76,3.86,1721.87,3.75,3.30
2316,楠梓電,,7.54,0.34,1381.11,-10.91,-9.32
2317,鴻海,,7.36,3.74,975043.86,3.74,3.00
2321,東訊,,11.26,-2.01,760.61,-4.91,-4.91
2323,中環,,-3.51,-19.94,2222.72,-23.02,-23.39
2324,仁寶電腦,,4.17,1.57,187427.92,0.78,0.59
2327,國巨,,25.05,14.68,7346.75,13.01,11.21
2328,廣宇,,7.65,2.30,5165.77,3.08,2.25
2329,華泰電子,,1.28,-5.97,3396.94,-6.58,-5.48
2330,台積電,,51.94,40.76,233914.40,41.82,37.46
2331,精英,,13.96,2.20,6497.21,4.32,2.95
2332,友訊科技,,26.04,-4.09,4729.96,-4.13,-4.45
2337,旺宏,,27.46,6.27,6609.98,3.09,3.06
2338,光罩,,14.22,-2.12,292.72,-9.41,-9.50
2340,光磊,,31.11,15.97,1573.01,14.20,11.82
2342,茂矽,,16.44,4.42,420.00,-9.67,-9.67
2344,華邦電,,28.67,8.87,10424.96,8.47,6.94
2345,智邦科技,,20.03,9.10,8562.23,9.83,7.57
2347,聯強國際,,3.90,1.42,76537.88,1.94,1.57
2348,海悅,,41.35,19.91,101.97,18.33,18.33
2349,錸德科技,,9.64,-9.43,2328.77,-15.74,-17.15
2351,順德,,20.96,12.87,2290.50,9.19,7.45
2352,佳世達,,11.43,2.52,31686.78,4.55,4.08
2353,宏碁,,9.68,0.81,56052.39,-0.10,0.11
2354,鴻準,,9.14,6.08,18544.89,6.44,5.47
2355,敬鵬,,15.58,10.13,6012.61,8.74,6.38
2356,英業達,,5.57,1.63,99754.99,0.63,0.36
2357,華碩,,13.82,3.71,108221.18,4.41,3.46
2358,廷鑫,,4.63,0.84,394.20,3.79,3.14
2359,所羅門,,19.38,4.99,963.09,-1.54,-1.55
2360,致茂電子,,49.23,16.85,2775.71,12.61,10.15
2362,藍天,,28.65,9.47,4839.36,4.16,0.80
2363,矽統科技,,47.25,-167.41,45.22,-243.95,-244.09
2364,倫飛電腦,,26.28,-21.75,139.45,-43.19,-43.24
2365,昆盈企業,,16.95,-5.78,635.82,-3.72,-4.19
2367,燿華,,6.56,-4.43,3708.27,-7.19,-6.49
2368,金像電,,8.20,-2.20,4322.15,-5.20,-4.27
2369,菱生,,11.16,1.77,1454.27,3.80,2.92
2371,大同,,21.33,4.24,18539.12,6.88,5.92
2373,震旦行,,42.45,8.43,3505.49,12.36,10.09
2374,佳能,,11.98,0.30,2785.27,1.09,0.49
2375,智寶,,19.10,6.40,646.79,6.26,4.89
2376,技嘉,,15.53,2.60,13328.97,2.57,1.88
2377,微星科技,,14.37,6.03,24553.25,6.55,5.59
2379,瑞昱,,42.58,9.31,9983.44,5.57,5.08
2380,虹光精密,,26.16,-23.73,451.67,-28.83,-28.98
2382,廣達,,4.73,2.05,227915.88,1.73,1.24
2383,台光電子,,24.36,17.38,5766.58,17.29,12.52
2385,群光電子,,16.91,4.95,16942.01,5.18,4.09
2387,精元電腦,,18.00,8.81,2875.52,9.75,6.98
2388,威盛電子,,27.11,-34.14,1064.89,1.66,1.30
2390,云辰,,10.09,-35.22,180.64,-49.50,-48.63
2392,正崴,,10.21,-0.61,18164.65,0.96,0.34
2393,億光電子,,24.09,8.56,6717.94,6.29,4.82
2395,研華,,40.49,15.02,10006.24,14.98,12.05
2397,友通資訊,,31.75,15.68,920.06,10.96,8.51
2399,映泰,,11.50,-1.28,778.41,-5.22,-4.54
2401,凌陽科技,,38.81,-5.06,1478.64,22.86,22.15
2402,毅嘉科技,,4.12,-2.94,1474.12,-7.19,-5.97
2404,漢唐,,18.34,14.53,3394.03,7.93,5.84
2405,浩鑫,,11.34,-9.71,967.37,-9.68,-8.33
2406,國碩科技,,3.17,-3.24,2969.08,-8.19,-8.24
2408,南亞科,,40.07,31.50,12230.57,26.87,26.84
2409,友達,,19.69,13.57,88556.82,13.49,10.65
2412,中華電,,36.51,21.15,54533.40,21.64,18.05
2413,環科,,16.09,0.59,894.43,-9.05,-9.24
2414,精技電腦,,9.72,2.08,3855.80,2.08,1.74
2415,錩新,,26.49,6.03,533.98,4.68,2.63
2417,圓剛,,52.57,-4.77,540.32,-6.45,-6.63
2419,仲琦,,24.15,6.68,1986.37,3.02,1.61
2420,新巨,,38.76,20.71,743.80,4.05,3.20
2421,建準電機,,21.98,6.01,2514.84,5.86,5.12
2423,固緯,,48.90,13.28,563.74,14.70,13.05
2424,隴華電子,,41.00,-448.95,1.28,-2150.82,-2108.57
2425,承啟,,0.96,-1.15,994.64,-7.93,-7.08
2426,鼎元,,21.95,9.88,717.30,-8.96,-8.96
2427,三商電腦,,30.81,2.46,597.35,2.17,1.50
2428,興勤電子,,35.95,22.95,1342.11,21.05,15.08
2429,銘旺科,,14.18,2.99,252.57,1.21,-5.50
2430,燦坤實業,,15.44,2.34,5121.97,2.09,1.67
2431,聯昌電子,,15.57,4.64,712.49,1.00,0.79
2433,互盛電,,35.07,15.03,867.91,22.41,19.68
2434,統懋,,-38.73,-73.01,46.31,-110.47,-110.66
2436,偉詮電,,24.54,4.45,495.21,0.62,0.83
2438,翔耀實業,,35.01,21.96,136.65,20.87,16.82
2439,美律,,19.67,10.94,4515.00,8.79,7.07
